ens,baseMean,log2FoldChange,lfcSE,pvalue,padj
ENSG00000175548,41.5919467630339,0.717134593636318,0.0899184187364043,1.22707742763221e-15,2.1615617675557e-15
ENSG00000119541,107.474728682343,-0.427412902951614,0.0539422400665467,1.24517277815079e-15,2.19320941515268e-15
ENSG00000146776,23.7663659575544,-0.45548539292719,0.0567846134628753,1.26950167039986e-15,2.23582890442431e-15
ENSG00000205456,4.50027626102959,1.96963082864768,0.255984742959465,1.27943460032548e-15,2.25308819170833e-15
ENSG00000177535,8.78301800748631,-0.771775284126767,0.0972990305234478,1.2856429212343e-15,2.26378552246052e-15
ENSG00000167536,16.933733400864,0.871321599588231,0.109880621602037,1.3101930017007e-15,2.30677380149634e-15
ENSG00000185800,105.307500281278,0.398924906098607,0.0499861802479102,1.32429184626962e-15,2.33135422281187e-15
ENSG00000270580,13.6461554415323,-1.01131347227459,0.127791119245429,1.34599046536806e-15,2.36930718942844e-15
ENSG00000077157,107.407059372125,0.997394411266088,0.126455299343842,1.34619370703788e-15,2.36941852034277e-15
ENSG00000173145,35.3025719250127,-0.60227010334776,0.0756396694931015,1.40832552473958e-15,2.47826050179013e-15
ENSG00000112159,134.646784431796,-0.498361312406063,0.0625476549175328,1.40827956863244e-15,2.47826050179013e-15
ENSG00000281741,3.26609649209806,2.46398784528047,0.324213181992358,1.43910959230662e-15,2.53216860898114e-15
ENSG00000042429,83.2255123487942,0.350094462978316,0.0435878254514027,1.46419718795138e-15,2.5760433894051e-15
ENSG00000196456,15.2993695276719,0.728811098966782,0.0919478967689481,1.49639831938229e-15,2.63242298675245e-15
ENSG00000171016,19.0850341877653,-1.01380177824985,0.127822536658692,1.53440009026373e-15,2.69899413092015e-15
ENSG00000182544,99.0273165022156,0.470308837607008,0.0595034230604101,1.5406430592123e-15,2.70969383530792e-15
ENSG00000163281,26.2882635233119,-0.524892635407738,0.0658399002357302,1.56652936108674e-15,2.75493655822871e-15
ENSG00000183621,16.5326962798216,0.608069092079137,0.0763492356043137,1.58225715630575e-15,2.78230673978959e-15
ENSG00000228748,9.46231795700756,1.0300966821497,0.131136063500587,1.58748064982537e-15,2.79120195286665e-15
ENSG00000146013,16.6097860934094,2.86007315811137,0.362005654806933,1.60371599774898e-15,2.81945499760065e-15
ENSG00000150990,103.379404002003,0.450423764483285,0.0567474227548553,1.61302365995072e-15,2.83552403870647e-15
ENSG00000008988,1490.39729744938,0.618696313878187,0.0774895823686046,1.62343552961895e-15,2.85353061987753e-15
ENSG00000159055,35.4406875965035,0.564211507127476,0.0710092778860787,1.64431654375185e-15,2.88993328172378e-15
ENSG00000147180,3.23699121408155,2.17408963391215,0.281640767431119,1.64928369807138e-15,2.8983622250917e-15
ENSG00000197780,62.9970808519787,0.631286444586492,0.0797295347431544,1.69027796639683e-15,2.97009495237401e-15
ENSG00000166169,52.2914114413379,-0.403585521207005,0.0507576236828442,1.69798349852026e-15,2.98332510250756e-15
ENSG00000149600,95.938244918755,-0.348690745730605,0.0443865453357381,1.70467204501964e-15,2.9947658669252e-15
ENSG00000162409,3.99296134228096,1.83861283787564,0.237332121297102,1.73257084850481e-15,3.04346254394851e-15
ENSG00000181045,54.2631251391051,0.470524511995876,0.0593100631070239,1.77406055946064e-15,3.11602064849225e-15
ENSG00000168872,158.461672757779,0.308375943745636,0.0388594871148159,1.79097864169277e-15,3.14540972404795e-15
ENSG00000156313,23.5504598513665,0.736300004823322,0.0930728817391905,1.80773399539366e-15,3.17450693837286e-15
ENSG00000249274,5.78692714017811,-0.974532802274856,0.123768766104821,1.83626368920857e-15,3.22427253240534e-15
ENSG00000105227,17.2346715749386,0.843712489728768,0.107019585915521,1.84116632492338e-15,3.23254564827056e-15
ENSG00000185842,14.5762109913573,0.645971196683436,0.0817176526941042,1.84837466621058e-15,3.24486476772265e-15
ENSG00000243156,301.71900229612,-0.678798699525557,0.0859553534686418,1.85198892196419e-15,3.25087248540178e-15
ENSG00000162368,154.252501464514,-0.504167599648996,0.0634201481408769,1.86974330774948e-15,3.28169713612569e-15
ENSG00000163867,35.2786029988069,-0.5054645782091,0.0636989244896966,1.92021461274191e-15,3.36993284121287e-15
ENSG00000105750,14.8313066110251,0.602534158149957,0.0760876860709496,1.92899617936998e-15,3.38499329557667e-15
ENSG00000134909,69.9172152112227,-0.704062659575349,0.0891640451657497,1.94314438117299e-15,3.40946699682281e-15
ENSG00000229944,2.01206532474556,3.32525319970981,0.471696474208573,1.94890579148941e-15,3.41922157364551e-15
ENSG00000170581,586.803545133065,-0.55184107811986,0.0695406347105881,1.96087354043976e-15,3.43986159535063e-15
ENSG00000258376,9.93390880846307,-0.776783341401021,0.0992294262757889,2.02811134340594e-15,3.55744475978293e-15
ENSG00000169919,242.447756310329,0.50661776420222,0.0640679114805504,2.03747998011233e-15,3.57350763351307e-15
ENSG00000110074,54.9347775779203,-0.442764795193663,0.0559855937733258,2.05435330979025e-15,3.60272819067453e-15
ENSG00000177301,13.7311030855535,1.70045452067818,0.221785826049781,2.07253342192375e-15,3.6342341655677e-15
ENSG00000123610,6.9360330211827,1.64891611235115,0.214430978356264,2.09600079662113e-15,3.67500398661686e-15
ENSG00000138835,83.7095074796137,0.779566223222142,0.099027541655679,2.12208371428629e-15,3.72035082497363e-15
ENSG00000104635,180.800306681232,0.715012077209478,0.0910758164612696,2.12939262549542e-15,3.73277785463594e-15
ENSG00000117480,6.62829658268098,1.08577413152094,0.139000827712787,2.22281817842374e-15,3.89614723175454e-15
ENSG00000138326,1190.16357004343,-0.599472909332022,0.0754466474348263,2.23368463617051e-15,3.91478849199398e-15
ENSG00000260412,4.37278201320677,1.47303049250803,0.190467114903575,2.2517899977753e-15,3.94611158752816e-15
ENSG00000175550,202.909119278039,0.592297846437942,0.0749274243631913,2.25206653846391e-15,3.94618761398713e-15
ENSG00000198792,284.232964161326,-0.549808703336834,0.0694592213669559,2.26095035418118e-15,3.96134417645097e-15
ENSG00000187608,84.9713884015733,1.36532137671363,0.176422742205186,2.27052595479997e-15,3.9777095316209e-15
ENSG00000132388,92.4513947742287,-0.408803182511897,0.0515895941788578,2.29613144259754e-15,4.02215117635721e-15
ENSG00000143850,30.307264936077,1.60145462963431,0.208307820789536,2.29801875275856e-15,4.02504060751719e-15
