Conserved Antigen	Class
SRSF8	SEGs
MTMR3	SEGs
MTRR	SEGs
MTDH	SEGs
MTFR1L	SEGs
MTMR14	SEGs
DLEU1	SEGs
CC2D2A	SEGs
MTAP	SEGs
MTX2	SEGs
SNURF	SEGs
MTFMT	SEGs
MTHFSD	SEGs
CBWD6	SEGs
PAGR1	SEGs
C2orf15	SEGs
CBWD1	SEGs
MTHFD1L	SEGs
MTHFD1	SEGs
SNHG3	SEGs
CYP51A1	SEGs
TOMM6	SEGs
MTCH1	SEGs
PYURF	SEGs
DUSP4	SEGs
RPS17	SEGs
MTPN	SEGs
MTCH2	SEGs
MTHFD2	SEGs
NOMO2	SEGs
NOMO3	SEGs
PSMA2	SEGs
MTA3	SEGs
TIAF1	SEGs
GPR89B	SEGs
DDX47	SEGs
BOLA2B	SEGs
PGAM4	SEGs
MTO1	SEGs
MTG1	SEGs
MBD5	SEGs
MTX1	SEGs
MTMR2	SEGs
MTERFD1	SEGs
MTFR1	SEGs
GTF2H2C	SEGs
C1QTNF6	SEGs
MTA2	SEGs
MTMR4	SEGs
RPS17L	SEGs
SERF1B	SEGs
MTERF3	SEGs
PMEL	Canonical
TYRP1	Canonical
GPNMB	Canonical
DCT	Canonical
MLANA	Canonical
TYR	Canonical
MITF	Canonical
MAGEA1	MAGE
MAGEA10	MAGE
MAGEA11	MAGE
MAGEA12	MAGE
MAGEA2	MAGE
MAGEA3	MAGE
MAGEA4	MAGE
MAGEA6	MAGE
MAGEA8	MAGE
MAGEA9	MAGE
MAGEB1	MAGE
MAGEB10	MAGE
MAGEB16	MAGE
MAGEB18	MAGE
MAGEB2	MAGE
MAGEB3	MAGE
MAGEB4	MAGE
MAGEB5	MAGE
MAGEB6	MAGE
MAGEC1	MAGE
MAGEC3	MAGE
MAGED1	MAGE
MAGED2	MAGE
MAGED4	MAGE
MAGEE1	MAGE
MAGEC2	MAGE
MAGEE2	MAGE
MAGEF1	MAGE
MAGEH1	MAGE
MAGEL2	MAGE
NDN	MAGE
NSMCE3	MAGE
